postime,ID,lon,lat,distance,sog,cog,draught,wind_u,wind_v,Hs,Tp,heading_wave,current_u,current_v
2022-11-05 21:54:57,0_217,111.6855,-25.218758,1.4,18.7,343.0,12.5,2.0831861866614445,10.271225356320132,2.88787542755508,8.809682142149278,192.55397553856253,0.039902041323857995,-0.23577698210013984
2022-11-05 21:57:44,0_217,111.680422,-25.204972,0.87,18.8,343.0,12.5,2.11151824437022,10.276995896465879,2.88667027971576,8.806675730189674,192.5714447617349,0.07144936562119705,-0.24803415071225932
2022-11-05 22:03:50,0_217,111.669283,-25.174417,1.92,18.9,341.0,12.5,2.138177476990323,10.288516979431312,2.8717533511582687,8.776902874147144,192.60661904519515,0.14528926342296034,-0.278536395814292
2022-11-05 22:09:15,0_217,111.659138,-25.147183,1.72,19.1,342.0,12.5,2.1417604100389056,10.29589272397093,2.851999217481694,8.738571450706319,192.63393770052397,0.20431328568547386,-0.2801747538749732
2022-11-05 22:14:03,0_217,111.65012,-25.123093,1.52,19.0,341.0,12.5,2.143823981785369,10.29931459732991,2.834465074593493,8.704884786695489,192.65709543229855,0.2539989911906747,-0.2750637711169283
2022-11-05 22:18:08,0_217,111.642487,-25.102938,1.27,18.7,342.0,12.5,2.144755210611375,10.300078651769137,2.8195380900057216,8.676463328518754,192.6757954106363,0.29615082420228617,-0.27333789662110536
2022-11-05 22:20:45,0_217,111.637658,-25.090012,0.82,18.8,342.0,12.5,2.1450369705918377,10.299510410483808,2.8099658139434895,8.658346672858803,192.687903467294,0.3234809037662506,-0.27356032130722274
2022-11-05 22:26:27,0_217,111.627038,-25.061862,1.78,18.7,342.0,12.5,2.1444364165148486,10.295463724788874,2.78907997361327,8.61914817711309,192.71290661049892,0.3591910291489414,-0.25162791290183445
2022-11-05 22:32:20,0_217,111.616347,-25.032965,1.82,18.6,342.0,12.5,2.1425120388625807,10.287432590342659,2.7674957845466697,8.579075930156357,192.73902145439575,0.3904327635040208,-0.22557494650359453
2022-11-05 22:36:45,0_217,111.608407,-25.011273,1.37,18.6,342.0,12.5,2.1400634822119993,10.278849403526777,2.751263609733513,8.549242107683895,192.75846317148336,0.41548684337834213,-0.20915887415833131
2022-11-05 22:40:56,0_217,111.600817,-24.990665,1.3,18.6,341.0,12.5,2.138487612117043,10.268701499902344,2.7360182879012003,8.521292369884753,192.77398005973555,0.4289836380516304,-0.18710464288482928
2022-11-05 22:44:14,0_217,111.594793,-24.974487,1.02,18.5,341.0,12.5,2.138293207863478,10.25993783661187,2.7241534238802005,8.499549016349494,192.78371768687168,0.4292903346060587,-0.1617487808746523
2022-11-05 22:50:08,0_217,111.584032,-24.94522,1.85,18.8,341.0,12.5,2.1369584105716926,10.24275885394965,2.7029695518915804,8.461134667970965,192.8014996382071,0.43102621289453785,-0.11563945111934795
2022-11-05 22:54:39,0_217,111.575773,-24.922768,1.42,18.9,342.0,12.5,2.1349852801140337,10.228455175238444,2.6867786041033153,8.432143052811128,192.81484439983637,0.43318619797921565,-0.07793880318434067
2022-11-05 23:00:33,0_217,111.56464,-24.893793,1.84,18.7,343.0,12.5,2.1325417526396677,10.20695886507584,2.667667119706083,8.39792422683024,192.83064851565325,0.40882352628733365,-0.04121328269178466
2022-11-05 23:04:27,0_217,111.557383,-24.87445,1.22,18.8,342.0,12.5,2.1418316109933238,10.181620196321317,2.6678320177438284,8.39535399337595,192.85053495636586,0.38803076752023796,-0.01811713511892016
2022-11-05 23:08:52,0_217,111.549303,-24.852665,1.38,18.7,342.0,12.5,2.1517751082180645,10.153076557896732,2.667905829942636,8.39261732796188,192.87308570447126,0.36482636456598067,0.008705383597641845
2022-11-05 23:13:57,0_217,111.540345,-24.827515,1.58,18.6,340.0,12.5,2.162647059032376,10.120195230678465,2.6678337184227408,8.38968605954891,192.90049196699198,0.33291495803739657,0.038325826235981374
2022-11-05 23:18:21,0_217,111.531853,-24.805878,1.37,18.7,340.0,12.5,2.1704652404593494,10.092035965021742,2.6676451552806624,8.387389246775287,192.918683144771,0.29084060111142324,0.05812684004388444
2022-11-05 23:23:58,0_217,111.521128,-24.778353,1.75,18.7,340.0,12.5,2.1795007773347956,10.056296531979863,2.6672325798089944,8.384727107043334,192.94155295804586,0.2370238819685712,0.084353031618315
2022-11-05 23:26:38,0_217,111.516085,-24.765093,0.84,18.9,339.0,12.5,2.1834229959652394,10.039211562673204,2.666957854905348,8.38357018119971,192.95267691361633,0.21093901874142928,0.09738462445471169
2022-11-05 23:29:56,0_217,111.509862,-24.748763,1.03,18.7,339.0,12.5,2.1880183937649655,10.018115156861437,2.6665596050364675,8.382236091005147,192.96611545006047,0.17871752971210586,0.11264936027657256
2022-11-05 23:36:32,0_217,111.497593,-24.7161,2.06,18.7,339.0,12.5,2.2000418222134903,9.97247729843041,2.665399501758498,8.379763225544519,192.99804859404625,0.11229251994963474,0.11530310732352114
2022-11-05 23:42:27,0_217,111.486643,-24.68671,1.86,18.9,340.0,12.5,2.213724152140628,9.926326172926181,2.663532657941194,8.3774584413197,193.04417816228482,0.04998851971772912,0.1170664087147626
2022-11-05 23:47:08,0_217,111.477918,-24.663232,1.48,19.0,340.0,12.5,2.2239380161168167,9.888439545085378,2.6618625004146192,8.375892738856221,193.08017088820446,0.0028296999083806474,0.11439725340954415
2022-11-05 23:51:39,0_217,111.469258,-24.640673,1.43,19.0,339.0,12.5,2.233176728862774,9.850996560423404,2.660095104212424,8.37459129751311,193.1132225634721,-0.02324340173724615,0.08897092897806322
2022-11-05 23:56:50,0_217,111.459175,-24.615035,1.63,18.9,340.0,12.5,2.2431287735062777,9.80708413488081,2.6578978528948403,8.373345784369807,193.14960398737935,-0.05319177195819788,0.05994947086634781
2022-11-06 00:01:56,0_217,111.449405,-24.590167,1.58,18.6,341.0,12.5,2.2539525150428497,9.76780182581248,2.655668368031078,8.372345338160887,193.18507703188152,-0.08254371993635905,0.03159475350067665
2022-11-06 00:07:14,0_217,111.43943,-24.56418,1.65,18.7,340.0,12.5,2.268134479175836,9.735239175431605,2.653322835119926,8.371492071611062,193.22257282760768,-0.10792626024388104,0.013023154347515085
2022-11-06 00:10:44,0_217,111.4327,-24.546965,1.09,18.7,340.0,12.5,2.277793727305285,9.714220757326787,2.651676023517725,8.371042144970284,193.2465373463684,-0.123259204367747,0.003504185037056141
2022-11-06 00:16:20,0_217,111.42177,-24.519267,1.76,18.9,340.0,12.5,2.2938345340789468,9.681374903883304,2.64887933325138,8.370512163057684,193.28404377295348,-0.14753793065667548,-0.011578761983869992
2022-11-06 00:20:38,0_217,111.413135,-24.498332,1.34,18.7,340.0,12.5,2.3067190137074642,9.657444387737065,2.6466739458402593,8.370248501736018,193.31042327872012,-0.16486673392819096,-0.022033995225792975
2022-11-06 00:26:56,0_217,111.40038,-24.46783,1.95,18.6,340.0,12.5,2.326797330311479,9.624848851852576,2.6439943460105577,8.370371799482468,193.33782763892762,-0.174872209295024,-0.024216347223634544
2022-11-06 00:29:51,0_217,111.394458,-24.453623,0.91,18.7,340.0,12.5,2.3360887894247795,9.609783128855,2.6427024238679135,8.37048606121015,193.35029847721975,-0.17946729451888854,-0.025034354501678072
2022-11-06 00:34:09,0_217,111.385677,-24.43262,1.34,18.7,340.0,12.5,2.3498319009421347,9.587670812263152,2.6407388450978475,8.370718134264566,193.36827124143693,-0.18619080724537573,-0.026032891457836483
2022-11-06 00:39:08,0_217,111.375425,-24.408237,1.56,18.8,340.0,12.5,2.3659107876966656,9.562273806317426,2.6383778249290124,8.371080089914903,193.3884554044129,-0.19150489047143712,-0.02622143477178595
2022-11-06 00:42:57,0_217,111.367495,-24.389645,1.19,18.7,340.0,12.5,2.378391808130364,9.54313535939041,2.636514590722134,8.371414667624476,193.40322995319954,-0.19130601366346559,-0.02559292455930168
2022-11-06 00:45:08,0_217,111.362943,-24.37893,0.69,19.0,340.0,12.5,2.3856280124397764,9.53220568796291,2.6354193962760775,8.371640074547292,193.4116193254866,-0.19070536338894062,-0.025423858972098208
2022-11-06 00:50:50,0_217,111.351147,-24.351143,1.78,18.7,341.0,12.5,2.404961788006291,9.50420985554744,2.6325022905063196,8.372306477690783,193.4334101177469,-0.1874789889377584,-0.025633833884814362
2022-11-06 00:53:50,0_217,111.344915,-24.336498,0.94,18.8,340.0,12.5,2.4154162107265615,9.489686681910738,2.630919052398559,8.372713815958296,193.44465478582916,-0.18480673762308386,-0.026107789546458243
2022-11-06 00:57:03,0_217,111.338202,-24.320757,1.01,18.8,340.0,12.5,2.426874129272736,9.474272221182805,2.6291819011562705,8.373196841656647,193.45652215334044,-0.17987280768125133,-0.027724838827428797
2022-11-06 01:01:44,0_217,111.328227,-24.297792,1.48,19.0,340.0,12.5,2.437855637547973,9.445881927539311,2.6264444085248666,8.374280927911379,193.47100080198052,-0.1719588470574803,-0.031661730719900694
2022-11-06 01:04:46,0_217,111.321762,-24.283012,0.95,18.8,340.0,12.5,2.438628667322922,9.421156377511767,2.62450301648665,8.37533175420108,193.4781950183372,-0.16726857610748014,-0.034863860587892634
2022-11-06 01:08:26,0_217,111.31398,-24.265123,1.15,18.8,340.0,12.5,2.440220489175705,9.391988090497781,2.6221257427267184,8.37661630833051,193.4870354764364,-0.1620051212784828,-0.03884239585729003
2022-11-06 01:16:27,0_217,111.297017,-24.226355,2.5,18.7,340.0,12.5,2.444342681982758,9.33219552319351,2.6168487862304306,8.379417403077227,193.5061772593346,-0.15579579715265202,-0.04885551970653442
2022-11-06 01:19:57,0_217,111.289455,-24.209348,1.1,18.9,340.0,12.5,2.4453273772331707,9.306212785057468,2.6144825050562277,8.38065183804604,193.51397858950853,-0.15486174969892164,-0.053930679713770135
2022-11-06 01:22:50,0_217,111.283623,-24.195065,0.91,18.9,342.0,12.5,2.445936036103246,9.284296892300414,2.6125081112062087,8.381713219740867,193.52257607555077,-0.15444085581410746,-0.05832208030626618
